token_id,chain_id,contract_address,source,name,symbol,is_active,last_updated,search_id,decimals
1-0x0000000000085d4780b73119b644ae5ecd22b376,1,0x0000000000085d4780b73119b644ae5ecd22b376,coinmarketcap,TrueUSD,TUSD,true,2024-10-22 02:18:00.077743+00,2563,18
1-0x0000000000095413afc295d19edeb1ad7b71c952,1,0x0000000000095413afc295d19edeb1ad7b71c952,coinmarketcap,Tokenlon,LON,true,2024-10-22 02:13:00.086662+00,8083,18
1-0x00059ae69c1622a7542edc15e8d17b060fe307b6,1,0x00059ae69c1622a7542edc15e8d17b060fe307b6,coinmarketcap,AmonD,AMON,true,2024-10-22 02:16:00.07793+00,4712,18
1-0x005d1123878fc55fbd56b54c73963b234a64af3c,1,0x005d1123878fc55fbd56b54c73963b234a64af3c,coinmarketcap,Kiba Inu,KIBA,true,2024-10-22 02:18:00.077743+00,13437,18
1-0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,1,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,coinmarketcap,Stox,STX,true,2024-10-22 02:19:00.06987+00,1861,18
1-0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,1,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,coinmarketcap,SKALE Network,SKL,true,2024-10-22 02:13:00.086662+00,5691,18
1-0x013a06558f07d9e6f9a00c95a33f3a0e0255176b,1,0x013a06558f07d9e6f9a00c95a33f3a0e0255176b,coinmarketcap,BALI COIN,BALI,true,2024-10-22 02:08:00.070009+00,5480,18
1-0x016396044709eb3edc69c44f4d5fa6996917e4e8,1,0x016396044709eb3edc69c44f4d5fa6996917e4e8,coinmarketcap,KingXChain,KXC,true,2024-10-22 02:08:00.070009+00,3198,18
1-0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f,1,0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f,coinmarketcap,BF Token,BFT,true,2024-10-22 02:16:00.07793+00,2605,18
1-0x0202be363b8a4820f3f4de7faf5224ff05943ab1,1,0x0202be363b8a4820f3f4de7faf5224ff05943ab1,coinmarketcap,UniLend,UFT,true,2024-10-22 02:08:00.070009+00,7412,18
1-0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,1,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,coinmarketcap,Orion Protocol,ORN,true,2024-10-22 02:09:00.062665+00,5631,8
1-0x02f2d4a04e6e01ace88bd2cd632875543b2ef577,1,0x02f2d4a04e6e01ace88bd2cd632875543b2ef577,coinmarketcap,PKG Token,PKG,true,2024-10-22 02:09:00.062665+00,3106,18
1-0x0305f515fa978cf87226cf8a9776d25bcfb2cc0b,1,0x0305f515fa978cf87226cf8a9776d25bcfb2cc0b,coinmarketcap,Pepe 2.0,PEPE2.0,true,2024-10-22 02:10:00.076595+00,27276,18
1-0x0316eb71485b0ab14103307bf65a021042c6d380,1,0x0316eb71485b0ab14103307bf65a021042c6d380,coinmarketcap,Huobi BTC,HBTC,true,2024-10-22 02:13:00.086662+00,6941,18
1-0x037a54aab062628c9bbae1fdb1583c195585fe41,1,0x037a54aab062628c9bbae1fdb1583c195585fe41,coinmarketcap,LCX,LCX,true,2024-10-22 02:14:00.080781+00,4950,18
1-0x0391d2021f89dc339f60fff84546ea23e337750f,1,0x0391d2021f89dc339f60fff84546ea23e337750f,coinmarketcap,BarnBridge,BOND,true,2024-10-22 02:13:00.086662+00,7440,18
1-0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,1,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,coinmarketcap,Rai Reflex Index,RAI,true,2024-10-22 02:13:00.086662+00,8525,18
1-0x03be5c903c727ee2c8c4e9bc0acc860cca4715e2,1,0x03be5c903c727ee2c8c4e9bc0acc860cca4715e2,coinmarketcap,Ternoa,CAPS,true,2024-10-22 02:13:00.086662+00,9291,18
1-0x03dde9e5bb31ee40a471476e2fccf75c67921062,1,0x03dde9e5bb31ee40a471476e2fccf75c67921062,coinmarketcap,EML Protocol,EML,true,2024-10-22 02:16:00.07793+00,26982,18
1-0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,1,0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,coinmarketcap,Rollbit Coin,RLB,true,2024-10-22 02:14:00.080781+00,15271,18
1-0x0488401c3f535193fa8df029d9ffe615a06e74e6,1,0x0488401c3f535193fa8df029d9ffe615a06e74e6,coinmarketcap,SparkPoint,SRK,true,2024-10-22 02:16:00.07793+00,3935,18
1-0x048fe49be32adfc9ed68c37d32b5ec9df17b3603,1,0x048fe49be32adfc9ed68c37d32b5ec9df17b3603,coinmarketcap,Skrumble Network V2,SKM,true,2024-10-22 02:13:00.086662+00,2725,18
1-0x049399a6b048d52971f7d122ae21a1532722285f,1,0x049399a6b048d52971f7d122ae21a1532722285f,coinmarketcap,Fire Lotto,FLOT,true,2024-10-22 02:18:00.077743+00,3247,18
1-0x04a020325024f130988782bd5276e53595e8d16e,1,0x04a020325024f130988782bd5276e53595e8d16e,coinmarketcap,Herbalist Token,HERB,true,2024-10-22 02:10:00.076595+00,3646,8
1-0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,1,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,coinmarketcap,IMPT,IMPT,true,2024-10-22 02:17:00.090605+00,22985,18
1-0x04fa0d235c4abf4bcf4787af4cf447de572ef828,1,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,coinmarketcap,UMA,UMA,true,2024-10-22 02:07:00.087322+00,5617,18
1-0x054d64b73d3d8a21af3d764efd76bcaa774f3bb2,1,0x054d64b73d3d8a21af3d764efd76bcaa774f3bb2,coinmarketcap,PPAY,PPAY,true,2024-10-22 02:19:00.06987+00,7870,18
1-0x054f76beed60ab6dbeb23502178c52d6c5debe40,1,0x054f76beed60ab6dbeb23502178c52d6c5debe40,coinmarketcap,FIN,FIN,true,2024-10-22 02:12:00.06871+00,7225,18
1-0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,1,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,coinmarketcap,Gemini dollar,GUSD,true,2024-10-22 02:19:00.06987+00,3306,2
1-0x06450dee7fd2fb8e39061434babcfc05599a6fb8,1,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,coinmarketcap,XEN Crypto,XEN,true,2024-10-22 02:19:00.06987+00,22118,18
1-0x066798d9ef0833ccc719076dab77199ecbd178b0,1,0x066798d9ef0833ccc719076dab77199ecbd178b0,coinmarketcap,SAKE,SAKE,true,2024-10-22 02:13:00.086662+00,6997,18
1-0x06a01a4d579479dd5d884ebf61a31727a3d8d442,1,0x06a01a4d579479dd5d884ebf61a31727a3d8d442,coinmarketcap,SmartKey,Skey,true,2024-10-22 02:09:00.062665+00,8133,8
1-0x06e0feb0d74106c7ada8497754074d222ec6bcdf,1,0x06e0feb0d74106c7ada8497754074d222ec6bcdf,coinmarketcap,BitBall,BTB,true,2024-10-22 02:15:00.105077+00,3687,18
1-0x06f3cdabae564b0546529b4dd8fef1bcd4235753,1,0x06f3cdabae564b0546529b4dd8fef1bcd4235753,coinmarketcap,TILWIKI - Faces of Art,TLW,true,2024-10-22 02:19:00.06987+00,5399,8
1-0x07150e919b4de5fd6a63de1f9384828396f25fdc,1,0x07150e919b4de5fd6a63de1f9384828396f25fdc,coinmarketcap,Base Protocol,BASE,true,2024-10-22 02:16:00.07793+00,7838,9
1-0x07597255910a51509ca469568b048f2597e72504,1,0x07597255910a51509ca469568b048f2597e72504,coinmarketcap,Uptrennd,1UP,true,2024-10-22 02:09:00.062665+00,4213,18
1-0x0763fdccf1ae541a5961815c0872a8c5bc6de4d7,1,0x0763fdccf1ae541a5961815c0872a8c5bc6de4d7,coinmarketcap,SUKU,SUKU,true,2024-10-22 02:09:00.062665+00,6180,18
1-0x076641af1b8f06b7f8c92587156143c109002cbe,1,0x076641af1b8f06b7f8c92587156143c109002cbe,coinmarketcap,SoPay,SOP,true,2024-10-22 02:19:00.06987+00,2947,18
1-0x07e0edf8ce600fb51d44f51e3348d77d67f298ae,1,0x07e0edf8ce600fb51d44f51e3348d77d67f298ae,coinmarketcap,HarryPotterObamaPacMan8Inu,XRP,true,2024-10-22 02:14:00.080781+00,27809,8
1-0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,1,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,coinmarketcap,Agrello,DLT,true,2024-10-22 02:13:00.086662+00,1949,18
1-0x07ef9e82721ac16809d24dafbe1792ce01654db4,1,0x07ef9e82721ac16809d24dafbe1792ce01654db4,coinmarketcap,Chimpion,BNANA,true,2024-10-22 02:16:00.07793+00,3742,18
1-0x081131434f93063751813c619ecca9c4dc7862a3,1,0x081131434f93063751813c619ecca9c4dc7862a3,coinmarketcap,Dalarnia,DAR,true,2024-10-22 02:15:00.105077+00,11374,6
1-0x08389495d7456e1951ddf7c3a1314a4bfb646d8b,1,0x08389495d7456e1951ddf7c3a1314a4bfb646d8b,coinmarketcap,Crypterium,CRPT,true,2024-10-22 02:15:00.105077+00,2447,18
1-0x089453742936dd35134383aee9d78bee63a69b01,1,0x089453742936dd35134383aee9d78bee63a69b01,coinmarketcap,GOLD,GOLD,true,2024-10-22 02:15:00.105077+00,28173,18
1-0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,1,0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,coinmarketcap,Dentacoin,Dentacoin,true,2024-10-22 02:13:00.086662+00,1876,0
1-0x08d967bb0134f2d07f7cfb6e246680c53927dd30,1,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,coinmarketcap,MATH Token,MATH,true,2024-10-22 02:08:00.070009+00,5616,18
1-0x090185f2135308bad17527004364ebcc2d37e5f6,1,0x090185f2135308bad17527004364ebcc2d37e5f6,coinmarketcap,Spell Token,SPELL,true,2024-10-22 02:11:00.05839+00,11289,18
1-0x0954906da0bf32d5479e25f46056d22f08464cab,1,0x0954906da0bf32d5479e25f46056d22f08464cab,coinmarketcap,Index,INDEX,true,2024-10-22 02:18:00.077743+00,7336,18
1-0x09617f6fd6cf8a71278ec86e23bbab29c04353a7,1,0x09617f6fd6cf8a71278ec86e23bbab29c04353a7,coinmarketcap,Unblocked Ledger Token,ULT,true,2024-10-22 02:17:00.090605+00,5330,18
1-0x09a3ecafa817268f77be1283176b946c4ff2e608,1,0x09a3ecafa817268f77be1283176b946c4ff2e608,coinmarketcap,Mirror Protocol,MIR,true,2024-10-22 02:13:00.086662+00,7857,18
